batch_id,temp_c,pressure_bar,cycle_time_s,motor_speed_rpm,material_density,hardness_hrc,feedstock_purity,grid_carbon_intensity,ambient_temp_c,tool_wear_index,yield_pct,quality_score,energy_kwh,carbon_kg
BATCH_00511,67.16,13.46,150.33,3265.4,2.8373,51.71,0.9373,392.39,29.84,0.2833,99.8,94.88,30.888,12.12
BATCH_00512,64.6,13.59,206.45,3064.7,2.8154,48.06,0.9629,464.82,25.08,0.3342,99.8,94.49,32.655,15.179
BATCH_00513,63.09,13.6,165.27,2571.5,2.8189,49.85,0.9493,474.99,26.27,0.3447,99.4,96.39,29.328,13.93
BATCH_00514,57.74,11.99,156.61,2708.2,2.7638,52.74,0.9751,96.05,25.1,0.3128,99.8,96.19,26.911,2.585
BATCH_00515,60.39,12.25,175.55,2843.6,2.7265,49.94,0.9576,136.78,24.93,0.3304,99.8,96.94,28.345,3.877
BATCH_00516,71.04,13.16,157.18,2588.9,2.8369,48.97,0.9861,128.25,25.24,0.2422,99.8,96.74,26.898,3.45
BATCH_00517,69.01,12.67,169.56,3307.7,2.7364,57.51,0.9736,152.09,16.27,0.2363,99.8,95.19,29.739,4.523
BATCH_00518,57.18,8.06,188.6,2843.3,2.7578,45.13,0.9741,493.07,23.0,0.3035,99.8,97.13,27.606,13.612
BATCH_00519,65.79,12.04,188.71,1989.0,2.7392,54.17,0.9372,538.0,28.65,0.2296,99.8,96.77,26.081,14.032
BATCH_00520,71.01,10.8,157.55,2901.8,2.763,58.49,0.9978,470.54,39.77,0.2721,99.8,96.69,27.85,13.105
BATCH_00521,51.64,12.85,167.81,2695.6,2.7441,49.53,0.9865,138.39,19.18,0.315,99.8,98.25,28.482,3.942
BATCH_00522,69.35,18.47,206.86,2777.5,2.6596,55.26,0.9823,419.2,25.69,0.3411,99.8,98.04,33.718,14.134
BATCH_00523,59.7,13.23,192.41,2689.4,2.8264,56.37,0.9461,130.92,21.72,0.2748,99.8,96.69,29.859,3.909
BATCH_00524,69.56,11.87,231.88,3042.1,2.7389,56.14,0.9623,122.86,32.19,0.2595,99.8,96.57,30.211,3.712
BATCH_00525,58.89,14.34,209.5,3135.9,2.7678,52.58,0.9308,451.35,18.58,0.2987,99.8,97.08,32.779,14.795
BATCH_00526,50.56,13.47,208.61,2884.9,2.6778,50.89,0.9625,484.51,26.5,0.2434,99.8,95.42,30.776,14.911
BATCH_00527,51.98,13.34,145.3,2698.2,2.6507,59.21,0.9315,98.37,18.37,0.2799,99.8,95.43,27.162,2.672
BATCH_00528,65.38,13.71,199.1,2787.6,2.6991,57.89,0.9637,119.61,22.73,0.2869,99.8,96.67,30.214,3.614
BATCH_00529,67.08,16.61,178.67,2805.9,2.7909,50.46,0.9712,105.39,23.86,0.2866,99.8,95.14,31.226,3.291
BATCH_00530,57.77,10.24,166.23,2559.3,2.6698,46.75,0.9508,500.44,28.28,0.2917,99.8,96.59,25.445,12.734
BATCH_00531,70.11,13.45,184.2,2973.7,2.8318,46.22,0.9594,111.91,19.69,0.2552,99.58,96.16,30.839,3.451
BATCH_00532,51.71,10.65,203.63,2938.0,2.693,46.6,0.9892,413.2,26.65,0.26,99.8,95.14,29.681,12.264
BATCH_00533,64.47,13.61,192.52,3262.1,2.6909,54.91,0.9286,143.05,24.08,0.2596,99.8,96.03,31.742,4.541
BATCH_00534,55.31,10.66,158.04,3176.6,2.6863,45.88,0.9825,116.76,25.09,0.2252,99.8,97.31,27.201,3.176
BATCH_00535,59.79,11.67,198.56,2594.3,2.6528,50.73,0.9335,145.59,27.83,0.3041,99.8,96.08,29.156,4.245
BATCH_00536,65.38,11.91,164.06,3046.1,2.8044,57.8,0.9229,444.67,18.87,0.3267,99.8,96.09,29.028,12.908
BATCH_00537,58.12,14.45,185.42,2514.7,2.825,50.0,0.9347,141.37,27.24,0.3232,99.8,96.33,28.533,4.034
BATCH_00538,61.92,14.34,172.42,3008.8,2.7728,57.98,0.9804,434.98,21.72,0.2813,99.8,96.46,30.085,13.086
BATCH_00539,73.05,10.01,174.53,2645.0,2.6876,57.67,0.952,416.17,28.38,0.2598,99.8,95.67,26.836,11.168
BATCH_00540,60.38,12.61,199.16,2493.0,2.7071,49.18,0.9889,429.57,25.34,0.3224,99.8,96.35,29.192,12.54
BATCH_00541,71.69,11.08,154.0,2884.0,2.7452,57.39,0.9615,122.23,23.16,0.3187,99.6,94.95,27.607,3.374
BATCH_00542,55.96,9.98,228.63,1997.6,2.8409,57.71,0.9218,144.61,21.64,0.3023,99.8,95.2,26.785,3.873
BATCH_00543,69.24,12.07,134.47,2274.7,2.6995,51.76,0.9766,359.64,27.29,0.3638,99.8,95.33,25.443,9.15
BATCH_00544,76.53,11.88,165.06,2746.8,2.7963,48.58,0.9287,111.0,29.04,0.2934,99.68,95.73,28.475,3.161
BATCH_00545,45.23,17.35,189.26,2824.7,2.7379,53.86,0.9824,406.98,21.87,0.2846,99.8,96.16,32.457,13.209
BATCH_00546,58.62,13.37,194.61,2689.2,2.7096,60.66,0.9333,420.2,19.47,0.2794,99.61,95.87,28.962,12.17
BATCH_00547,69.62,9.74,177.49,2326.2,2.7412,55.87,0.9473,521.94,26.78,0.2334,99.8,96.69,24.047,12.551
BATCH_00548,63.38,11.37,178.57,2554.6,2.6642,47.94,0.9801,108.1,18.21,0.3227,99.8,96.38,26.874,2.905
BATCH_00549,67.97,14.54,190.26,2917.4,2.8097,56.61,0.9954,124.15,18.78,0.2925,99.8,95.71,32.403,4.023
BATCH_00550,60.17,16.68,174.22,2974.5,2.6987,52.26,0.9493,144.91,19.75,0.3176,99.8,94.96,31.793,4.607
BATCH_00551,65.69,9.33,214.83,2795.1,2.7951,55.06,0.9855,142.22,22.34,0.3713,99.8,95.18,31.012,4.411
BATCH_00552,63.75,8.74,200.98,3147.1,2.6637,57.48,0.9351,458.04,18.65,0.2824,99.77,94.53,29.039,13.301
BATCH_00553,74.34,16.24,201.82,2919.2,2.841,53.75,0.9838,134.99,16.24,0.205,99.8,96.14,31.556,4.26
BATCH_00554,67.04,13.28,155.85,2575.8,2.6886,58.84,0.9719,545.3,19.46,0.3182,99.8,95.14,27.187,14.825
BATCH_00555,67.7,10.76,178.02,2715.8,2.8265,57.28,0.9352,116.25,26.57,0.3061,99.8,95.5,27.421,3.188
BATCH_00556,61.7,13.57,172.49,2379.1,2.8119,55.46,0.9439,92.11,18.91,0.2706,99.8,95.87,26.518,2.443
BATCH_00557,61.1,7.23,154.86,2767.6,2.8436,47.56,0.9304,152.53,22.64,0.3162,99.8,97.04,23.805,3.631
BATCH_00558,61.54,12.51,189.0,3133.6,2.7456,59.21,0.9503,106.76,31.79,0.3322,99.8,96.93,31.215,3.332
BATCH_00559,68.16,13.16,166.56,3005.6,2.7955,60.91,0.9361,102.74,23.8,0.2634,99.8,95.95,29.922,3.074
BATCH_00560,61.63,14.35,196.39,3220.6,2.7241,47.33,0.9709,486.57,25.37,0.2896,99.8,97.27,34.193,16.637
BATCH_00561,67.32,10.47,153.25,2709.1,2.6869,53.3,0.9986,134.28,20.22,0.3612,99.8,93.99,26.085,3.503
BATCH_00562,81.6,12.67,222.98,3203.8,2.7386,49.4,0.9209,418.06,32.65,0.2737,97.9,94.71,32.219,13.47
BATCH_00563,71.97,10.65,157.59,2742.0,2.6831,57.83,0.9627,514.51,21.83,0.3057,99.8,96.69,25.897,13.324
BATCH_00564,62.39,13.01,185.48,3241.5,2.8464,57.27,0.9653,134.71,23.09,0.1985,99.8,96.1,31.37,4.226
BATCH_00565,74.61,10.71,199.8,2793.4,2.6692,47.4,0.9922,138.05,29.27,0.2447,99.8,95.11,29.117,4.02
BATCH_00566,61.74,11.68,165.73,3012.2,2.7678,59.91,0.96,516.88,23.27,0.3107,99.8,95.56,27.885,14.413
BATCH_00567,48.7,10.51,201.31,3242.5,2.7753,48.08,0.963,116.65,24.19,0.3539,99.8,96.61,30.219,3.525
BATCH_00568,56.94,13.8,149.27,2742.0,2.7576,58.55,0.9573,98.19,22.87,0.2508,99.8,96.63,28.185,2.767
BATCH_00569,50.03,14.22,216.3,2865.5,2.7824,52.77,0.9412,106.29,22.9,0.3087,99.8,96.67,32.173,3.42
BATCH_00570,62.19,12.03,180.35,3186.7,2.6732,50.58,0.9244,126.66,25.48,0.2911,99.31,95.27,30.68,3.886
BATCH_00571,65.15,12.58,165.09,2760.1,2.761,47.69,0.9523,107.46,26.21,0.3448,99.8,95.07,27.537,2.959
BATCH_00572,78.41,9.6,172.52,2403.7,2.7074,47.85,0.9242,458.93,21.43,0.2584,99.14,94.56,23.54,10.803
BATCH_00573,67.62,11.9,200.22,3442.9,2.838,56.25,0.9635,83.38,20.94,0.3247,99.8,96.77,31.541,2.63
BATCH_00574,63.25,12.4,165.39,2659.1,2.8024,54.36,0.9443,148.32,21.56,0.2818,99.57,96.0,27.901,4.138
BATCH_00575,71.64,17.74,161.27,2847.6,2.8445,47.08,0.9622,132.75,18.39,0.3174,99.78,97.48,32.668,4.337
BATCH_00576,47.31,10.28,174.46,3146.8,2.6575,46.92,0.9306,139.82,17.64,0.3116,99.8,96.03,28.473,3.981
BATCH_00577,66.88,15.43,150.58,2617.5,2.707,46.23,0.9937,477.47,25.19,0.2993,99.8,96.0,29.993,14.321
BATCH_00578,71.17,14.49,225.51,2497.6,2.6891,57.64,0.9907,594.09,27.75,0.3289,99.44,96.67,31.798,18.891
BATCH_00579,53.17,13.06,165.84,2876.1,2.6522,57.1,0.935,409.07,27.48,0.312,99.8,97.22,27.676,11.321
BATCH_00580,74.15,16.02,200.79,2262.1,2.6985,45.99,0.9471,421.97,14.47,0.3054,99.8,94.65,29.786,12.569
BATCH_00581,67.71,13.24,185.24,2713.6,2.7858,54.52,0.9685,397.87,23.02,0.2969,99.8,94.88,29.801,11.857
BATCH_00582,61.68,13.28,155.39,2873.5,2.6962,46.44,0.9276,449.53,19.59,0.3147,99.8,95.69,26.45,11.89
BATCH_00583,70.06,12.39,179.85,2719.0,2.7518,60.36,0.948,145.97,24.57,0.3209,99.8,99.16,29.08,4.245
BATCH_00584,83.17,14.95,199.6,2337.0,2.8276,60.42,0.9398,89.05,22.33,0.2729,96.76,91.82,30.012,2.672
BATCH_00585,66.45,14.69,175.29,3278.3,2.7888,56.87,0.9923,144.91,26.37,0.299,99.8,95.88,31.976,4.634
BATCH_00586,66.99,11.25,209.83,2831.1,2.7289,60.75,0.9873,166.44,23.92,0.2712,99.31,96.62,29.528,4.915
BATCH_00587,61.33,9.86,205.54,3229.3,2.7245,58.79,0.9658,437.41,16.42,0.3122,99.8,96.98,30.345,13.273
BATCH_00588,58.2,12.09,202.97,2722.0,2.7411,59.09,0.9611,473.96,20.13,0.2906,99.8,96.17,29.191,13.835
BATCH_00589,71.64,10.9,168.51,2536.0,2.6854,54.69,0.9935,116.53,24.02,0.3456,99.8,97.16,25.688,2.993
BATCH_00590,58.15,12.37,153.0,2880.8,2.7768,50.2,0.9937,64.33,24.36,0.3421,99.57,94.81,27.446,1.766
BATCH_00591,65.57,14.97,164.66,2735.3,2.7228,48.7,0.9966,119.05,18.38,0.2787,99.8,95.23,28.639,3.41
BATCH_00592,61.18,11.59,184.91,2446.7,2.8205,50.56,0.9299,508.87,17.85,0.316,99.74,97.16,27.356,13.92
BATCH_00593,68.83,12.41,193.64,3240.9,2.8013,55.68,0.9327,472.73,24.22,0.3421,99.8,96.01,31.045,14.676
BATCH_00594,67.67,12.62,125.71,2613.3,2.7721,47.94,0.9735,112.9,18.39,0.31,99.8,94.74,24.787,2.798
BATCH_00595,73.3,14.2,179.8,2247.9,2.7228,49.4,0.9628,133.19,17.33,0.2883,99.8,94.68,28.035,3.734
BATCH_00596,60.92,8.01,183.95,3198.4,2.692,52.96,0.9215,135.1,22.22,0.2742,99.8,95.19,28.34,3.829
BATCH_00597,62.84,11.29,173.06,2648.7,2.8052,48.96,0.9249,78.5,22.05,0.3525,99.8,96.0,27.127,2.13
BATCH_00598,57.17,12.92,212.28,2617.7,2.7473,55.01,0.9902,122.22,20.49,0.3549,99.8,96.47,30.689,3.751
BATCH_00599,61.45,14.9,190.54,2270.4,2.695,60.69,0.9886,180.9,21.19,0.3109,99.8,95.67,28.214,5.104
BATCH_00600,68.02,11.52,212.75,3322.3,2.689,57.72,0.9482,86.62,24.06,0.3503,99.8,96.38,32.396,2.806
BATCH_00601,71.06,8.75,174.6,2413.2,2.6831,56.33,0.9904,117.86,21.12,0.2015,99.8,95.56,25.138,2.963
BATCH_00602,57.62,13.74,203.44,2817.5,2.8054,54.91,0.9669,168.54,24.28,0.3737,99.8,97.22,30.716,5.177
BATCH_00603,71.96,11.23,220.88,3073.8,2.6958,53.3,0.9837,147.6,22.48,0.3148,99.8,98.55,30.436,4.492
BATCH_00604,75.85,10.12,212.79,2926.5,2.7553,48.17,0.9538,107.17,24.67,0.3272,99.8,95.2,29.754,3.189
BATCH_00605,68.31,11.25,152.7,2782.1,2.7403,60.21,0.929,440.24,27.51,0.3091,99.8,96.48,25.682,11.306
BATCH_00606,80.01,12.13,173.66,2289.5,2.7659,49.23,0.9543,119.95,27.36,0.3782,98.21,93.99,26.547,3.184
BATCH_00607,58.81,11.29,171.37,2557.1,2.8254,46.55,0.9561,101.3,29.15,0.2804,99.8,96.14,26.417,2.676
BATCH_00608,55.04,8.09,192.23,2856.3,2.8235,57.75,0.9635,445.37,27.35,0.3823,99.8,96.65,25.865,11.519
BATCH_00609,50.77,14.29,197.16,2563.8,2.7402,47.99,0.9283,113.0,24.95,0.3396,99.8,96.48,30.369,3.432
BATCH_00610,76.97,15.05,159.03,2861.0,2.6531,51.32,0.9983,453.31,22.27,0.3491,99.8,94.58,29.545,13.393
BATCH_00611,70.23,13.8,181.7,3004.5,2.7353,45.48,0.9393,101.29,22.45,0.3115,99.8,97.32,31.435,3.184
BATCH_00612,64.56,10.22,129.5,3088.8,2.7712,47.33,0.9357,88.08,20.49,0.2728,99.8,96.2,26.229,2.31
BATCH_00613,67.24,12.1,216.05,2432.1,2.7616,47.94,0.9616,508.4,24.02,0.3628,99.8,95.62,29.929,15.216
BATCH_00614,56.0,12.49,167.19,3459.0,2.7803,45.92,0.9624,162.88,26.79,0.3384,99.8,98.44,32.007,5.213
BATCH_00615,84.57,13.7,181.4,3030.2,2.6808,56.16,0.9547,122.06,21.1,0.3809,96.5,91.29,30.867,3.767
BATCH_00616,66.03,13.84,172.26,2799.5,2.7793,59.23,0.981,111.71,23.85,0.3191,99.8,96.25,29.264,3.269
BATCH_00617,65.88,11.03,208.65,3126.9,2.6865,51.35,0.9608,435.18,21.29,0.3106,99.8,96.18,29.583,12.874
BATCH_00618,70.81,12.66,109.06,3509.6,2.8001,59.87,0.9682,116.04,24.84,0.3833,99.8,95.87,29.729,3.45
BATCH_00619,68.85,13.41,179.58,2368.4,2.7178,48.63,0.9772,166.7,21.8,0.4047,99.8,96.45,28.121,4.688
BATCH_00620,66.79,15.41,177.35,2732.4,2.792,50.53,0.922,119.9,21.04,0.3291,99.8,95.16,29.351,3.519
BATCH_00621,58.68,13.91,168.66,2086.5,2.6596,47.56,0.9651,456.03,21.28,0.299,99.8,96.6,26.732,12.191
BATCH_00622,68.77,14.08,223.16,2857.8,2.7316,55.55,0.9899,101.13,26.01,0.362,99.8,94.24,30.707,3.106
BATCH_00623,80.06,12.67,157.82,2909.6,2.791,52.14,0.9214,499.43,23.61,0.3199,97.58,92.27,28.021,13.995
BATCH_00624,75.76,15.32,199.29,2788.3,2.6954,55.43,0.952,126.88,22.29,0.3545,99.39,97.46,32.32,4.101
BATCH_00625,77.75,13.32,188.91,2603.6,2.8091,57.95,0.9932,118.59,25.05,0.3206,98.52,93.43,28.697,3.403
BATCH_00626,60.91,10.78,211.54,2185.1,2.7762,54.28,0.9479,482.04,22.34,0.394,99.75,94.04,27.052,13.04
BATCH_00627,57.08,15.31,163.32,2912.1,2.7675,55.67,0.9562,104.05,28.51,0.3039,99.8,94.77,29.62,3.082
BATCH_00628,63.99,13.9,161.68,3236.6,2.7207,60.9,0.9975,497.47,20.1,0.3515,99.8,97.74,29.118,14.485
BATCH_00629,65.45,11.61,207.4,2622.7,2.7465,50.08,0.9357,135.72,23.25,0.3132,99.8,94.21,29.663,4.026
BATCH_00630,73.75,11.54,190.63,2932.0,2.7695,51.11,0.9252,116.82,18.38,0.3219,99.8,95.04,29.409,3.436
BATCH_00631,51.46,13.09,141.38,2329.6,2.7445,57.2,0.9879,127.18,22.61,0.3172,99.75,94.54,25.214,3.207
BATCH_00632,77.24,13.43,166.52,2937.2,2.7897,55.39,0.9886,119.05,17.28,0.3636,99.51,94.65,29.384,3.498
BATCH_00633,63.74,12.89,189.66,2682.0,2.7367,48.04,0.9573,122.46,26.99,0.3713,99.55,95.56,29.513,3.614
BATCH_00634,61.58,13.12,200.94,2571.3,2.6905,51.39,0.9606,114.99,27.07,0.3573,99.8,95.52,30.176,3.47
BATCH_00635,56.9,15.9,163.02,2571.9,2.6928,52.95,0.986,120.45,27.14,0.3311,99.8,97.86,29.029,3.497
BATCH_00636,51.76,14.64,107.14,2681.9,2.6512,52.13,0.9783,506.47,24.12,0.3415,99.8,94.8,25.025,12.674
BATCH_00637,71.59,12.88,193.08,2914.7,2.7102,48.03,0.9409,127.79,20.48,0.3723,99.8,95.9,31.063,3.97
BATCH_00638,65.59,14.38,149.49,2406.4,2.7998,60.72,0.9213,136.13,20.8,0.374,99.8,96.34,27.6,3.757
BATCH_00639,54.68,10.43,129.57,2680.9,2.8088,57.96,0.9579,416.55,30.12,0.2296,99.8,95.02,24.424,10.174
BATCH_00640,54.64,13.3,109.19,2787.6,2.6905,53.18,0.9879,451.47,29.74,0.3268,99.8,96.49,26.685,12.048
BATCH_00641,62.31,16.12,200.35,2470.3,2.8418,56.56,0.9908,474.57,24.49,0.3292,99.8,95.6,30.659,14.55
BATCH_00642,78.35,12.06,183.22,3339.0,2.7505,60.25,0.9955,415.16,21.94,0.3654,98.58,94.77,32.215,13.374
BATCH_00643,62.92,10.8,174.36,2544.0,2.8334,47.31,0.9895,400.97,29.47,0.3364,99.8,95.89,27.968,11.215
BATCH_00644,52.97,11.2,214.73,2599.2,2.7914,49.26,0.9658,111.64,21.22,0.3683,99.8,93.95,29.964,3.345
BATCH_00645,63.03,10.32,195.93,2506.5,2.7945,54.23,0.9551,96.0,24.92,0.2968,99.8,97.31,26.658,2.559
BATCH_00646,62.82,10.93,220.41,3339.5,2.667,58.58,0.9812,129.13,29.41,0.3508,99.8,98.07,32.384,4.182
BATCH_00647,43.42,11.76,145.18,2965.9,2.694,45.62,0.9784,439.42,20.65,0.3769,99.8,95.82,28.835,12.671
BATCH_00648,64.57,9.69,179.14,2519.0,2.6518,61.73,0.9625,133.39,27.32,0.2823,99.8,95.1,24.837,3.313
BATCH_00649,63.15,12.53,139.58,3131.9,2.7932,52.73,0.9269,90.15,26.08,0.4423,99.8,97.51,28.751,2.592
BATCH_00650,70.57,14.3,174.27,2860.2,2.7189,51.11,0.9932,112.02,23.84,0.3898,99.8,97.89,30.043,3.366
BATCH_00651,79.79,10.68,173.78,2877.2,2.8073,49.98,0.956,84.21,20.03,0.3427,99.35,93.53,27.432,2.31
BATCH_00652,74.01,15.54,195.67,2696.7,2.7178,47.96,0.9487,411.89,21.1,0.31,99.8,95.78,31.57,13.003
BATCH_00653,62.85,13.52,181.14,2575.2,2.8139,58.46,0.9697,78.65,25.16,0.3365,99.8,95.92,29.058,2.285
BATCH_00654,56.15,14.56,195.59,2901.3,2.6761,61.24,0.9732,120.25,18.31,0.3473,99.8,94.33,30.839,3.708
BATCH_00655,85.59,11.18,197.59,2636.5,2.6847,52.03,0.9366,468.36,24.52,0.3621,97.02,90.63,29.228,13.689
BATCH_00656,65.47,14.21,233.87,3345.0,2.7182,61.19,0.9861,488.63,26.16,0.4049,99.8,97.71,35.157,17.179
BATCH_00657,65.11,10.32,172.12,2419.2,2.7317,59.0,0.9429,471.59,27.94,0.3263,99.8,95.83,25.193,11.881
BATCH_00658,64.81,14.28,156.47,3260.8,2.7197,53.18,0.9347,401.47,18.41,0.3683,99.8,94.96,30.307,12.167
BATCH_00659,66.58,12.84,186.15,2766.6,2.8027,56.46,0.9521,525.12,29.26,0.2946,99.8,96.5,29.487,15.484
BATCH_00660,63.85,13.61,159.94,2889.7,2.6694,52.39,0.9777,142.83,30.78,0.3302,99.8,95.33,29.71,4.244
BATCH_00661,60.41,10.15,217.05,3049.9,2.7202,54.5,0.9963,125.31,25.64,0.3622,99.8,95.93,30.43,3.813
BATCH_00662,60.63,10.71,172.92,2610.9,2.8174,45.99,0.9839,126.01,19.85,0.3752,99.8,94.73,27.676,3.488
BATCH_00663,64.74,13.69,165.86,3059.3,2.6634,56.84,0.9943,112.4,22.69,0.3179,99.8,94.96,31.166,3.503
BATCH_00664,60.65,10.6,168.22,1987.7,2.8385,45.9,0.9311,97.26,23.81,0.3309,99.8,96.74,23.16,2.253
BATCH_00665,59.3,13.43,197.96,2584.0,2.8473,58.89,0.9256,150.93,25.08,0.4074,99.8,96.12,30.327,4.577
BATCH_00666,65.85,9.77,176.06,2522.8,2.6677,59.02,0.9641,152.81,24.09,0.3959,99.8,95.22,27.34,4.178
BATCH_00667,62.96,14.2,163.96,2423.9,2.7083,49.03,0.9429,493.81,25.12,0.3582,99.8,96.12,27.717,13.687
BATCH_00668,77.03,10.03,221.63,2735.5,2.7245,50.5,0.9854,116.16,23.64,0.2608,99.67,94.42,30.062,3.492
BATCH_00669,43.79,13.6,158.6,2915.7,2.8053,53.18,0.9731,116.41,25.06,0.4512,99.8,95.22,31.54,3.672
BATCH_00670,73.73,13.75,180.89,3010.8,2.7692,55.14,0.9967,468.2,22.16,0.3504,99.8,97.16,30.974,14.502
BATCH_00671,74.97,11.11,196.31,2872.3,2.7789,49.89,0.9401,121.61,22.65,0.3391,99.8,96.78,29.245,3.556
BATCH_00672,48.41,13.66,139.22,2600.3,2.8015,55.07,0.9584,143.67,21.7,0.3312,99.8,95.98,27.584,3.963
BATCH_00673,62.26,13.02,192.01,2910.7,2.6736,50.06,0.9596,101.32,31.67,0.3676,99.8,96.14,31.251,3.166
BATCH_00674,62.03,11.42,153.62,2837.3,2.8166,45.94,0.9389,387.11,29.86,0.3685,99.8,95.99,25.502,9.872
BATCH_00675,53.74,10.48,200.57,3080.8,2.7911,45.04,0.9666,150.92,26.22,0.3915,99.8,96.49,30.485,4.601
BATCH_00676,58.78,8.57,155.93,3033.1,2.7655,46.72,0.955,471.13,29.3,0.3169,99.8,95.2,26.246,12.365
BATCH_00677,56.12,13.2,197.32,2809.1,2.8279,58.47,0.9553,430.93,27.19,0.3419,99.8,96.86,30.682,13.222
BATCH_00678,79.02,9.37,207.65,2530.8,2.7901,61.34,0.9487,506.17,24.73,0.436,98.42,94.42,28.182,14.265
BATCH_00679,72.49,12.69,201.54,2604.1,2.6903,52.26,0.9213,111.75,17.98,0.3642,99.8,95.74,29.561,3.303
BATCH_00680,75.17,11.97,186.28,2635.1,2.7359,53.72,0.9612,158.87,22.95,0.3488,99.8,95.43,27.817,4.419
BATCH_00681,70.77,13.86,174.22,2705.4,2.7488,47.5,0.9465,459.25,22.66,0.3185,99.8,96.84,29.581,13.585
BATCH_00682,55.97,11.9,165.59,2880.4,2.661,54.37,0.9201,148.69,19.47,0.3768,99.8,95.85,29.919,4.449
BATCH_00683,60.8,11.84,216.78,3014.6,2.8409,47.46,0.9443,470.61,18.06,0.3983,99.8,95.3,31.123,14.647
BATCH_00684,68.91,13.96,162.51,2784.7,2.6757,55.39,0.942,511.82,25.97,0.3925,99.8,95.62,28.145,14.405
BATCH_00685,55.22,13.17,154.07,2804.8,2.7895,60.87,0.9511,102.8,25.3,0.3476,99.8,96.77,28.222,2.901
BATCH_00686,70.7,13.13,196.63,2843.0,2.7512,48.33,0.9304,481.98,19.33,0.3729,99.62,94.39,30.608,14.753
BATCH_00687,63.08,13.44,160.1,2645.2,2.6551,58.0,0.9601,95.25,21.02,0.4257,99.8,95.64,29.457,2.806
BATCH_00688,62.0,9.43,156.25,2522.4,2.8349,45.4,0.9747,466.92,28.64,0.4021,99.77,97.07,24.561,11.468
BATCH_00689,70.69,14.01,143.91,2273.4,2.8204,51.38,0.9698,499.23,20.49,0.3284,99.8,95.83,25.467,12.714
BATCH_00690,68.55,13.72,167.93,2591.5,2.7549,46.88,0.9835,123.36,24.68,0.2584,99.8,96.27,26.043,3.213
BATCH_00691,62.11,10.47,177.93,2941.9,2.6958,50.99,0.9557,152.79,23.24,0.3725,99.8,97.09,29.768,4.548
BATCH_00692,74.27,12.01,186.08,2589.1,2.6743,47.95,0.961,492.21,26.03,0.393,99.8,96.89,28.822,14.187
BATCH_00693,56.35,12.42,203.78,2728.7,2.7227,51.35,0.984,132.51,20.58,0.318,99.8,95.56,29.425,3.899
BATCH_00694,69.93,12.23,193.17,2939.9,2.7011,52.1,0.9538,88.79,24.36,0.3617,99.8,95.87,29.234,2.596
BATCH_00695,69.74,13.17,175.23,2956.2,2.7513,50.11,0.9754,122.35,24.67,0.3519,99.8,96.9,28.912,3.538
BATCH_00696,62.52,15.36,175.05,2476.1,2.8433,56.16,0.9543,454.03,24.92,0.3671,99.8,96.94,29.568,13.425
BATCH_00697,67.61,14.66,192.75,3099.1,2.765,60.62,0.953,114.64,24.32,0.3416,99.8,95.91,31.189,3.575
BATCH_00698,54.99,9.88,211.81,3138.2,2.828,51.81,0.9801,133.78,25.38,0.4154,99.8,95.95,31.194,4.173
BATCH_00699,72.39,13.74,183.16,2461.0,2.7802,48.27,0.9338,463.67,32.77,0.3702,99.58,96.27,30.373,14.083
BATCH_00700,63.52,15.16,168.27,2552.8,2.745,49.6,0.9467,78.41,34.25,0.3295,99.8,97.37,28.573,2.24
BATCH_00701,60.82,13.27,155.18,3157.3,2.8209,59.52,0.9377,133.93,21.44,0.4019,99.8,97.07,29.31,3.925
BATCH_00702,73.39,14.68,143.87,2755.9,2.7443,54.72,0.9484,163.6,14.73,0.315,99.8,96.69,28.401,4.646
BATCH_00703,59.37,16.52,196.66,2134.1,2.8237,52.74,0.9382,95.1,26.38,0.4174,99.8,94.92,28.915,2.75
BATCH_00704,53.73,14.55,194.45,2380.1,2.7083,47.54,0.9658,150.55,24.75,0.4062,99.73,95.73,31.017,4.67
BATCH_00705,52.55,13.0,194.43,2725.2,2.6758,52.65,0.9831,121.09,28.24,0.4225,99.61,95.78,31.425,3.805
BATCH_00706,69.85,14.59,176.78,2451.1,2.8211,49.73,0.9821,86.61,25.14,0.3611,99.8,97.42,28.641,2.48
BATCH_00707,54.76,12.79,215.17,2676.0,2.7675,61.03,0.9488,91.71,24.23,0.348,99.8,95.76,29.828,2.736
BATCH_00708,79.04,12.55,167.9,2809.7,2.8278,60.03,0.9981,120.39,28.52,0.3717,98.6,95.32,28.401,3.419
BATCH_00709,48.34,11.8,203.88,3238.7,2.8376,46.43,0.9669,447.69,29.08,0.3654,99.8,95.43,31.579,14.138
BATCH_00710,78.57,15.63,179.03,2712.9,2.6607,53.78,0.9516,467.71,18.45,0.3431,98.67,93.79,30.674,14.347
BATCH_00711,66.69,10.86,164.79,3121.8,2.7502,48.83,0.986,77.65,20.73,0.3475,99.8,96.48,29.611,2.299
BATCH_00712,64.23,15.56,194.81,3228.6,2.725,51.98,0.9777,459.73,23.58,0.3555,99.8,97.57,32.438,14.912
BATCH_00713,60.64,13.5,190.24,3230.3,2.7752,59.91,0.9792,124.85,24.39,0.3238,99.8,95.79,32.546,4.063
BATCH_00714,68.19,9.7,188.92,2885.4,2.8087,53.97,0.9355,119.84,23.1,0.3981,99.8,93.44,29.244,3.505
BATCH_00715,64.7,13.24,182.03,2211.0,2.7061,50.68,0.957,107.47,25.74,0.3694,99.8,94.44,26.999,2.902
